tag_ident,gender,date,hour,season,day-month,distance
3897,f,9/6/2015,1,Summer,6-Sep,1120.486388
3897,f,9/6/2015,2,Summer,6-Sep,649.1678794
3897,f,9/6/2015,3,Summer,6-Sep,674.9072102
3897,f,9/6/2015,19,Summer,6-Sep,2702.85864
3897,f,9/6/2015,20,Summer,6-Sep,1341.700326
3897,f,9/6/2015,21,Summer,6-Sep,120.4596746
3897,f,9/6/2015,22,Summer,6-Sep,1708.768173
3897,f,9/6/2015,23,Summer,6-Sep,54.22895204
3897,f,9/7/2015,0,Summer,7-Sep,275.9816997
3897,f,9/7/2015,1,Summer,7-Sep,895.3574847
3897,f,9/7/2015,2,Summer,7-Sep,2504.976215
3897,f,9/7/2015,3,Summer,7-Sep,1788.042779
3897,f,9/7/2015,19,Summer,7-Sep,225.9497374
3897,f,9/7/2015,20,Summer,7-Sep,983.9741743
3897,f,9/7/2015,21,Summer,7-Sep,1640.460964
3897,f,9/7/2015,22,Summer,7-Sep,433.1123588
3897,f,9/7/2015,23,Summer,7-Sep,19.98515904
3897,f,9/8/2015,0,Summer,8-Sep,135.152765
3897,f,9/8/2015,1,Summer,8-Sep,1261.650195
3897,f,9/8/2015,2,Summer,8-Sep,522.0913621
3897,f,9/8/2015,3,Summer,8-Sep,1244.745358
3897,f,9/8/2015,19,Summer,8-Sep,2784.261442
3897,f,9/8/2015,20,Summer,8-Sep,2162.336396
3897,f,9/8/2015,21,Summer,8-Sep,273.3825144
3897,f,9/8/2015,22,Summer,8-Sep,327.9980647
3897,f,9/8/2015,23,Summer,8-Sep,1386.737012
3897,f,9/9/2015,0,Summer,9-Sep,599.6672161
3897,f,9/9/2015,1,Summer,9-Sep,557.8841338
3897,f,9/9/2015,2,Summer,9-Sep,2226.502425
3897,f,9/9/2015,3,Summer,9-Sep,1132.548482
3897,f,9/9/2015,19,Summer,9-Sep,758.3079376
3897,f,9/9/2015,20,Summer,9-Sep,487.883961
3897,f,9/9/2015,21,Summer,9-Sep,816.3035926
3897,f,9/9/2015,22,Summer,9-Sep,3273.98783
3897,f,9/9/2015,23,Summer,9-Sep,1858.654119
3897,f,9/10/2015,0,Summer,10-Sep,2029.84304
3897,f,9/10/2015,1,Summer,10-Sep,563.1877803
3897,f,9/10/2015,2,Summer,10-Sep,356.8412032
3897,f,9/10/2015,3,Summer,10-Sep,1964.904029
3897,f,9/10/2015,19,Summer,10-Sep,773.1268967
3897,f,9/10/2015,20,Summer,10-Sep,211.8420837
3897,f,9/10/2015,21,Summer,10-Sep,464.6559837
3897,f,9/10/2015,22,Summer,10-Sep,2240.342993
3897,f,9/10/2015,23,Summer,10-Sep,962.6601597
3897,f,9/11/2015,0,Summer,11-Sep,769.544813
3897,f,9/11/2015,1,Summer,11-Sep,862.1313373
3897,f,9/11/2015,2,Summer,11-Sep,282.5764944
3897,f,9/11/2015,3,Summer,11-Sep,671.8180704
3897,f,9/11/2015,19,Summer,11-Sep,404.4423248
3897,f,9/11/2015,20,Summer,11-Sep,187.725873
3897,f,9/11/2015,21,Summer,11-Sep,25.23220698
3897,f,9/11/2015,22,Summer,11-Sep,32.05610044
3897,f,9/11/2015,23,Summer,11-Sep,478.7072859
3897,f,9/12/2015,0,Summer,12-Sep,406.3476407
3897,f,9/12/2015,1,Summer,12-Sep,32.18000021
3897,f,9/12/2015,2,Summer,12-Sep,871.2241642
3897,f,9/12/2015,3,Summer,12-Sep,1145.682837
3897,f,9/12/2015,19,Summer,12-Sep,2076.563455
3897,f,9/12/2015,20,Summer,12-Sep,1531.438827
3897,f,9/12/2015,21,Summer,12-Sep,599.2850288
3897,f,9/12/2015,22,Summer,12-Sep,1401.967329
3897,f,9/12/2015,23,Summer,12-Sep,37.38964866
3897,f,9/13/2015,0,Summer,13-Sep,509.8520497
3897,f,9/13/2015,1,Summer,13-Sep,886.5784954
3897,f,9/13/2015,2,Summer,13-Sep,1914.642048
3897,f,9/13/2015,3,Summer,13-Sep,1705.725786
3897,f,9/13/2015,19,Summer,13-Sep,685.4059522
3897,f,9/13/2015,20,Summer,13-Sep,1560.963545
3897,f,9/13/2015,21,Summer,13-Sep,152.8900171
3897,f,9/13/2015,22,Summer,13-Sep,502.3111614
3897,f,9/13/2015,23,Summer,13-Sep,38.4295058
3897,f,9/14/2015,0,Summer,14-Sep,254.3281368
3897,f,9/14/2015,1,Summer,14-Sep,155.5357199
3897,f,9/14/2015,2,Summer,14-Sep,64.86039772
3897,f,9/14/2015,3,Summer,14-Sep,1948.028217
3897,f,9/14/2015,19,Summer,14-Sep,315.2804959
3897,f,9/14/2015,20,Summer,14-Sep,102.3062539
3897,f,9/14/2015,21,Summer,14-Sep,3410.408818
3897,f,9/14/2015,22,Summer,14-Sep,1219.329181
3897,f,9/14/2015,23,Summer,14-Sep,657.6745713
3897,f,9/15/2015,0,Summer,15-Sep,896.7131786
3897,f,9/15/2015,1,Summer,15-Sep,994.0216077
3897,f,9/15/2015,2,Summer,15-Sep,118.8225734
3897,f,9/15/2015,3,Summer,15-Sep,82.37109163
3897,f,9/15/2015,19,Summer,15-Sep,504.8692753
3897,f,9/15/2015,20,Summer,15-Sep,248.3718822
3897,f,9/15/2015,21,Summer,15-Sep,1196.779855
3897,f,9/15/2015,22,Summer,15-Sep,868.5725868
3897,f,9/15/2015,23,Summer,15-Sep,735.9730959
3897,f,9/16/2015,0,Summer,16-Sep,133.873035
3897,f,9/16/2015,1,Summer,16-Sep,342.7880452
3897,f,9/16/2015,2,Summer,16-Sep,149.4535903
3897,f,9/16/2015,3,Summer,16-Sep,780.8393043
3897,f,9/16/2015,19,Summer,16-Sep,1270.169395
3897,f,9/16/2015,20,Summer,16-Sep,2344.971624
3897,f,9/16/2015,21,Summer,16-Sep,210.8306278
3897,f,9/16/2015,22,Summer,16-Sep,2381.637647
3897,f,9/16/2015,23,Summer,16-Sep,1750.085833
3897,f,9/17/2015,0,Summer,17-Sep,304.1873776
3897,f,9/17/2015,1,Summer,17-Sep,1319.237218
3897,f,9/17/2015,2,Summer,17-Sep,429.2635594
3897,f,9/17/2015,3,Summer,17-Sep,1969.58637
3897,f,9/17/2015,19,Summer,17-Sep,242.31667
3897,f,9/17/2015,20,Summer,17-Sep,222.6596041
3897,f,9/17/2015,21,Summer,17-Sep,3307.07499
3897,f,9/17/2015,22,Summer,17-Sep,91.80173228
3897,f,9/17/2015,23,Summer,17-Sep,40.04152063
3897,f,9/18/2015,0,Summer,18-Sep,56.10544216
3897,f,9/18/2015,1,Summer,18-Sep,370.8721954
3897,f,9/18/2015,2,Summer,18-Sep,390.0151123
3897,f,9/18/2015,3,Summer,18-Sep,1664.423078
3897,f,9/18/2015,19,Summer,18-Sep,928.9388777
3897,f,9/18/2015,20,Summer,18-Sep,285.4328183
3897,f,9/18/2015,21,Summer,18-Sep,52.95442212
3897,f,9/18/2015,22,Summer,18-Sep,494.5525929
3897,f,9/18/2015,23,Summer,18-Sep,664.3820739
3897,f,9/19/2015,0,Summer,19-Sep,651.9972345
3897,f,9/19/2015,1,Summer,19-Sep,58.65550459
3897,f,9/19/2015,2,Summer,19-Sep,45.34581027
3897,f,9/19/2015,3,Summer,19-Sep,1635.664823
3897,f,9/19/2015,19,Summer,19-Sep,217.1512783
3897,f,9/19/2015,20,Summer,19-Sep,1575.745608
3897,f,9/19/2015,21,Summer,19-Sep,1013.872152
3897,f,9/19/2015,22,Summer,19-Sep,644.6877818
3897,f,9/19/2015,23,Summer,19-Sep,190.360286
3897,f,9/20/2015,0,Summer,20-Sep,1332.472694
3897,f,9/20/2015,1,Summer,20-Sep,395.2563855
3897,f,9/20/2015,2,Summer,20-Sep,943.3270945
3897,f,9/20/2015,3,Summer,20-Sep,307.5706372
3897,f,9/20/2015,19,Summer,20-Sep,251.4333953
3897,f,9/20/2015,20,Summer,20-Sep,403.7662177
3897,f,9/20/2015,21,Summer,20-Sep,52.50913354
3897,f,9/20/2015,22,Summer,20-Sep,64.59472075
3897,f,9/20/2015,23,Summer,20-Sep,321.7373544
3897,f,9/21/2015,0,Autumn,21-Sep,1393.288884
3897,f,9/21/2015,1,Autumn,21-Sep,2583.036643
3897,f,9/21/2015,2,Autumn,21-Sep,1277.686393
3897,f,9/21/2015,3,Autumn,21-Sep,427.7134915
3897,f,9/21/2015,19,Autumn,21-Sep,221.2811538
3897,f,9/21/2015,20,Autumn,21-Sep,393.6919998
3897,f,9/21/2015,21,Autumn,21-Sep,116.7700778
3897,f,9/21/2015,22,Autumn,21-Sep,142.166451
3897,f,9/21/2015,23,Autumn,21-Sep,41.42142301
3897,f,9/22/2015,0,Autumn,22-Sep,586.2043565
3897,f,9/22/2015,1,Autumn,22-Sep,99.18720475
3897,f,9/22/2015,2,Autumn,22-Sep,487.815865
3897,f,9/22/2015,3,Autumn,22-Sep,240.5676624
3897,f,9/22/2015,19,Autumn,22-Sep,562.4609702
3897,f,9/22/2015,20,Autumn,22-Sep,268.0271205
3897,f,9/22/2015,21,Autumn,22-Sep,234.6310344
3897,f,9/22/2015,22,Autumn,22-Sep,175.3632799
3897,f,9/22/2015,23,Autumn,22-Sep,44.09807635
3897,f,9/23/2015,0,Autumn,23-Sep,1433.514508
3897,f,9/23/2015,1,Autumn,23-Sep,185.3074348
3897,f,9/23/2015,2,Autumn,23-Sep,910.8480234
3897,f,9/23/2015,3,Autumn,23-Sep,243.8572362
3897,f,9/23/2015,19,Autumn,23-Sep,455.2014915
3897,f,9/23/2015,20,Autumn,23-Sep,35.54337339
3897,f,9/23/2015,21,Autumn,23-Sep,1006.468658
3897,f,9/23/2015,22,Autumn,23-Sep,368.5022667
3897,f,9/23/2015,23,Autumn,23-Sep,270.7222969
3897,f,9/24/2015,0,Autumn,24-Sep,35.67153804
3897,f,9/24/2015,1,Autumn,24-Sep,87.95813419
3897,f,9/24/2015,2,Autumn,24-Sep,363.8171401
3897,f,9/24/2015,3,Autumn,24-Sep,1920.369372
3897,f,9/24/2015,19,Autumn,24-Sep,1067.333264
3897,f,9/24/2015,20,Autumn,24-Sep,1533.38212
3897,f,9/24/2015,21,Autumn,24-Sep,1399.539018
3897,f,9/24/2015,22,Autumn,24-Sep,1111.990962
3897,f,9/24/2015,23,Autumn,24-Sep,859.9663029
3897,f,9/25/2015,0,Autumn,25-Sep,1389.629145
3897,f,9/25/2015,1,Autumn,25-Sep,849.2698492
3897,f,9/25/2015,2,Autumn,25-Sep,461.3038203
3897,f,9/25/2015,3,Autumn,25-Sep,1270.80509
3897,f,9/25/2015,19,Autumn,25-Sep,1714.792417
3897,f,9/25/2015,20,Autumn,25-Sep,2681.193757
3897,f,9/25/2015,21,Autumn,25-Sep,303.3136023
3897,f,9/25/2015,22,Autumn,25-Sep,269.6435435
3897,f,9/25/2015,23,Autumn,25-Sep,69.35762817
