timestamp,long,lat,start_time,used_time_,tag_ident,utm_east,utm_north,utm_zone,date,time,Gender,trueDate,Hour,arbDate,arbHour
2016-04-27 01:00:07,7.6850240999999996915903466288000,52.2966849000000024716428015381098,2016-04-27 01:00:00,7,"4045",410326.1678183402982540428638458251953,5794851.4112331476062536239624023437500,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:02:07,7.6852096000000003073182597290725,52.2966831000000027529495127964765,2016-04-27 01:02:01,5,"4045",410338.8136637597344815731048583984375,5794850.9813179578632116317749023437500,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:04:07,7.6852406999999995917960404767655,52.2967166999999975018909026402980,2016-04-27 01:04:00,7,"4045",410341.0022712482605129480361938476563,5794854.6798375155776739120483398437500,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:06:08,7.6853775999999998091993802518118,52.2966497999999972989826346747577,2016-04-27 01:06:00,7,"4045",410350.2025520539027638733386993408203,5794847.0696368701756000518798828125000,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:08:08,7.6852527000000003809532245213632,52.2966533000000026731868274509907,2016-04-27 01:08:01,6,"4045",410341.6925239411648362874984741210938,5794847.6135596092790365219116210937500,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:10:07,7.6850044999999997941131368861534,52.2966788000000022407220967579633,2016-04-27 01:10:00,7,"4045",410324.8189476166153326630592346191406,5794850.7570582339540123939514160156250,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:12:07,7.6852647000000002819319888658356,52.2966492999999985613612807355821,2016-04-27 01:12:00,6,"4045",410342.5027415081276558339595794677734,5794847.1538163227960467338562011718750,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:14:08,7.6850545999999999580154508294072,52.2966581000000019230355974286795,2016-04-27 01:14:01,6,"4045",410328.1935189439100213348865509033203,5794848.3927347771823406219482421875000,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:16:09,7.6854956000000003157879291393328,52.2965421000000034723598218988627,2016-04-27 01:16:00,8,"4045",410358.0316593233146704733371734619141,5794834.9450303222984075546264648437500,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:18:10,7.6849373999999999185206434049178,52.2967264999999983388079272117466,2016-04-27 01:18:00,9,"4045",410320.3396703188773244619369506835938,5794856.1454091612249612808227539062500,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:20:10,7.6855997000000000340946826327126,52.2966424000000031924173526931554,2016-04-27 01:20:01,8,"4045",410365.3329049123567529022693634033203,5794845.9716368392109870910644531250000,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:22:23,7.6851425000000004317257662478369,52.2966939000000010651092452462763,2016-04-27 01:22:00,22,"4045",410334.2598426502663642168045043945313,5794852.2655967548489570617675781250000,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:24:08,7.6851276999999997840973264828790,52.2966886000000030776391213294119,2016-04-27 01:24:00,7,"4045",410333.2399071957916021347045898437500,5794851.6944524124264717102050781250000,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:26:07,7.6851260000000003458353603491560,52.2966545000000024856490199454129,2016-04-27 01:26:01,5,"4045",410333.0551074108807370066642761230469,5794847.9039175063371658325195312500000,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:28:07,7.6852150999999997438294485618826,52.2967069999999978335836203768849,2016-04-27 01:28:01,5,"4045",410339.2369853504933416843414306640625,5794853.6326921777799725532531738281250,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:30:07,7.6851817999999996189330886409152,52.2966622000000000980435288511217,2016-04-27 01:30:00,6,"4045",410336.8757346356869675219058990478516,5794848.6912211375311017036437988281250,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:32:07,7.6851995000000004054641067341436,52.2966898999999969532836985308677,2016-04-27 01:32:00,6,"4045",410338.1386656528338789939880371093750,5794851.7501282440498471260070800781250,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:34:07,7.6851446000000001035346031130757,52.2967123999999969896634866017848,2016-04-27 01:34:00,6,"4045",410334.4404097819933667778968811035156,5794854.3205869272351264953613281250000,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:36:07,7.6851013000000003572154128050897,52.2966636000000022477252059616148,2016-04-27 01:36:01,5,"4045",410331.3891622365918010473251342773438,5794848.9466174347326159477233886718750,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:38:07,7.6851523000000003804643711191602,52.2966675999999992541233950760216,2016-04-27 01:38:01,6,"4045",410334.8749977117986418306827545166016,5794849.3283456275239586830139160156250,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:40:07,7.6851747000000001364128365821671,52.2967174999999997453414835035801,2016-04-27 01:40:00,6,"4045",410336.5032663036836311221122741699219,5794854.8505409946665167808532714843750,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:42:08,7.6851529000000002866954673663713,52.2967407000000008565621101297438,2016-04-27 01:42:01,6,"4045",410335.0635557434870861470699310302734,5794857.4578663967549800872802734375000,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:44:07,7.6851609999999999089936864038464,52.2966972999999981652763381134719,2016-04-27 01:44:00,6,"4045",410335.5282480002497322857379913330078,5794852.6208393676206469535827636718750,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:46:07,7.6851672000000004203457137919031,52.2967057999999980211214278824627,2016-04-27 01:46:01,5,"4045",410335.9682013980345800518989562988281,5794853.5585412755608558654785156250000,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:48:07,7.6853099000000000273757905233651,52.2967368999999990819560480304062,2016-04-27 01:48:01,6,"4045",410345.7618978662649169564247131347656,5794856.8408194761723279953002929687500,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:50:07,7.6850896999999998016050994920079,52.2966418999999973493686411529779,2016-04-27 01:50:00,6,"4045",410330.5543126019183546304702758789063,5794846.5474844938144087791442871093750,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:52:08,7.6852809000000004147068466409110,52.2967159000000023638676793780178,2016-04-27 01:52:01,6,"4045",410343.7419427867862395942211151123047,5794854.5410837102681398391723632812500,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:54:07,7.6850759999999995741859493136872,52.2966728000000031784111342858523,2016-04-27 01:54:01,5,"4045",410329.6825049715116620063781738281250,5794850.0011830888688564300537109375000,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:56:08,7.6851665999999996259361978445668,52.2966710999999975229002302512527,2016-04-27 01:56:00,7,"4045",410335.8572022989392280578613281250000,5794849.6999114565551280975341796875000,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
2016-04-27 01:58:07,7.6851953000000001736680133035406,52.2967289999999991323420545086265,2016-04-27 01:58:00,6,"4045",410337.9312317750300280749797821044922,5794856.1040748283267021179199218750000,32N,2018/06/25,,m,2016-04-27,"1",2016-04-26,"8"
