timestamp,long,lat,start_time,used_time_,tag_ident,utm_east,utm_north,utm_zone,date,time,Gender,trueDate,Hour,arbDate,arbHour
2016-04-21 23:00:07,7.6758297999999998140197021712083,52.2927810999999991281583788804710,2016-04-21 23:00:00,6,"4045",409691.2567296869819983839988708496094,5794428.6533198598772287368774414062500,32N,2018/06/25,,m,2016-04-21,"23",2016-04-21,"6"
2016-04-21 23:02:07,7.6758084999999995901021065947134,52.2927846999999985655449563637376,2016-04-21 23:02:00,6,"4045",409689.8114515921333804726600646972656,5794429.0802799798548221588134765625000,32N,2018/06/25,,m,2016-04-21,"23",2016-04-21,"6"
2016-04-21 23:04:06,7.6758589999999999875512912694830,52.2927405000000007362359610851854,2016-04-21 23:04:00,5,"4045",409693.1655111837899312376976013183594,5794424.1013328814879059791564941406250,32N,2018/06/25,,m,2016-04-21,"23",2016-04-21,"6"
2016-04-21 23:04:36,7.6785379000000002491788109182380,52.2926266999999995732650859281421,2016-04-21 23:04:31,4,"4045",409875.6282053772592917084693908691406,5794408.1068218722939491271972656250000,32N,2018/06/25,,m,2016-04-21,"23",2016-04-21,"6"
2016-04-21 23:04:47,7.6785291999999998324710759334266,52.2925974999999993997334968298674,2016-04-21 23:04:40,6,"4045",409874.9756171004846692085266113281250,5794404.8699976708739995956420898437500,32N,2018/06/25,,m,2016-04-21,"23",2016-04-21,"6"
2016-04-21 23:04:57,7.6784517000000001019088813336566,52.2925781000000000631189323030412,2016-04-21 23:04:52,4,"4045",409869.6509298727614805102348327636719,5794402.8087716763839125633239746093750,32N,2018/06/25,,m,2016-04-21,"23",2016-04-21,"6"
2016-04-21 23:05:06,7.6785212999999998828570824116468,52.2927658999999991351614880841225,2016-04-21 23:05:01,5,"4045",409874.7786786876968108117580413818359,5794423.6094418801367282867431640625000,32N,2018/06/25,,m,2016-04-21,"23",2016-04-21,"6"
2016-04-21 23:05:16,7.6785195000000001641637936700135,52.2927052000000003317836672067642,2016-04-21 23:05:11,5,"4045",409874.5327132406528107821941375732422,5794416.8605691464617848396301269531250,32N,2018/06/25,,m,2016-04-21,"23",2016-04-21,"6"
2016-04-21 23:06:07,7.6785439999999995919210959982593,52.2926192999999983612724463455379,2016-04-21 23:06:01,5,"4045",409876.0291894825058989226818084716797,5794407.2761945780366659164428710937500,32N,2018/06/25,,m,2016-04-21,"23",2016-04-21,"6"
2016-04-21 23:07:17,7.6791456000000000159388946485706,52.2936627999999998905877873767167,2016-04-21 23:07:11,5,"4045",409919.1739208665094338357448577880859,5794522.5867109084501862525939941406250,32N,2018/06/25,,m,2016-04-21,"23",2016-04-21,"6"
2016-04-21 23:07:26,7.6791245000000003528839442878962,52.2936762000000001648913894314319,2016-04-21 23:07:21,4,"4045",409917.7621754937572404742240905761719,5794524.1033214312046766281127929687500,32N,2018/06/25,,m,2016-04-21,"23",2016-04-21,"6"
2016-04-21 23:07:36,7.6790617000000001013404471450485,52.2936906999999990830474416725338,2016-04-21 23:07:31,4,"4045",409913.5088967378251254558563232421875,5794525.7941538356244564056396484375000,32N,2018/06/25,,m,2016-04-21,"23",2016-04-21,"6"
