timestamp,long,lat,start_time,used_time_,tag_ident,utm_east,utm_north,utm_zone,date,time,Gender,trueDate,Hour,arbDate,arbHour
2016-04-22 01:00:22,7.6910116999999997844383869960438,52.2884314000000003375134838279337,2016-04-22 01:00:00,21,"4045",410717.8752742017968557775020599365234,5793926.0493188807740807533264160156250,32N,2018/06/25,,m,2016-04-22,"1",2016-04-21,"8"
2016-04-22 01:02:07,7.6905590000000003669811121653765,52.2874586000000007857124728616327,2016-04-22 01:02:00,6,"4045",410685.0428355337935499846935272216797,5793818.4117422550916671752929687500000,32N,2018/06/25,,m,2016-04-22,"1",2016-04-21,"8"
2016-04-22 01:04:06,7.6901913999999997884060576325282,52.2866084999999998217390384525061,2016-04-22 01:04:00,5,"4045",410658.2603231637040153145790100097656,5793724.3162099244073033332824707031250,32N,2018/06/25,,m,2016-04-22,"1",2016-04-21,"8"
2016-04-22 01:06:07,7.6901827999999996521296452556271,52.2865937999999985663635015953332,2016-04-22 01:06:00,6,"4045",410657.6441722526215016841888427734375,5793722.6918711736798286437988281250000,32N,2018/06/25,,m,2016-04-22,"1",2016-04-21,"8"
2016-04-22 01:08:07,7.6901466999999996687620296142995,52.2865760999999977798324835021049,2016-04-22 01:08:00,6,"4045",410655.1462977129267528653144836425781,5793720.7677970668300986289978027343750,32N,2018/06/25,,m,2016-04-22,"1",2016-04-21,"8"
2016-04-22 01:09:57,7.6887254000000000431214175478090,52.2872148000000009915311238728464,2016-04-22 01:09:51,5,"4045",410559.4902605852112174034118652343750,5793793.5591075960546731948852539062500,32N,2018/06/25,,m,2016-04-22,"1",2016-04-21,"8"
2016-04-22 01:10:06,7.6887302000000001811486072256230,52.2872319000000018718310457188636,2016-04-22 01:10:01,4,"4045",410559.8520878111012279987335205078125,5793795.4550581527873873710632324218750,32N,2018/06/25,,m,2016-04-22,"1",2016-04-21,"8"
2016-04-22 01:10:16,7.6887426999999997079271452093963,52.2872401999999993904566508717835,2016-04-22 01:10:11,4,"4045",410560.7213764799525961279869079589844,5793796.3627540674060583114624023437500,32N,2018/06/25,,m,2016-04-22,"1",2016-04-21,"8"
2016-04-22 01:12:06,7.6906653000000000375280251319055,52.2867559999999969022610457614064,2016-04-22 01:12:01,4,"4045",410690.8801424442790448665618896484375,5793740.1367630371823906898498535156250,32N,2018/06/25,,m,2016-04-22,"1",2016-04-21,"8"
2016-04-22 01:14:07,7.6919389999999996376800481812097,52.2860797000000019352228264324367,2016-04-22 01:14:00,6,"4045",410776.3961373197962529957294464111328,5793663.3479660861194133758544921875000,32N,2018/06/25,,m,2016-04-22,"1",2016-04-21,"8"
2016-04-22 01:16:07,7.6952714999999995981738720729481,52.2855120999999982700501277577132,2016-04-22 01:16:00,6,"4045",411002.5606257774634286761283874511719,5793596.1183010470122098922729492187500,32N,2018/06/25,,m,2016-04-22,"1",2016-04-21,"8"
2016-04-22 01:17:57,7.6962647000000004027242539450526,52.2848734000000021637788449879736,2016-04-22 01:17:51,5,"4045",411069.0264119735802523791790008544922,5793523.8613212164491415023803710937500,32N,2018/06/25,,m,2016-04-22,"1",2016-04-21,"8"
2016-04-22 01:18:06,7.6962586000000001718035491649061,52.2848782000000014136276149656624,2016-04-22 01:18:01,4,"4045",411068.6199453763547353446483612060547,5793524.4026729594916105270385742187500,32N,2018/06/25,,m,2016-04-22,"1",2016-04-21,"8"
2016-04-22 01:18:16,7.6962260999999996258225110068452,52.2848968999999996754013409372419,2016-04-22 01:18:11,4,"4045",411066.4405820958199910819530487060547,5793526.5224168030545115470886230468750,32N,2018/06/25,,m,2016-04-22,"1",2016-04-21,"8"
2016-04-22 01:18:26,7.6962191000000004237335815560073,52.2849027999999975691025611013174,2016-04-22 01:18:21,4,"4045",411065.9749301635310985147953033447266,5793527.1872171349823474884033203125000,32N,2018/06/25,,m,2016-04-22,"1",2016-04-21,"8"
