timestamp,long,lat,start_time,used_time_,tag_ident,utm_east,utm_north,utm_zone,date,time,Gender,trueDate,Hour,arbDate,arbHour
2016-04-20 00:00:06,7.6867201999999998918156052241102,52.2949103999999991287950251717120,2016-04-20 00:00:00,5,"4045",410438.2473246438894420862197875976563,5794651.9501675656065344810485839843750,32N,2018/06/25,,m,2016-04-20,"0",2016-04-19,"7"
2016-04-20 00:02:07,7.6868147999999996144993019697722,52.2949095999999968853444443084300,2016-04-20 00:02:00,6,"4045",410444.6968641697894781827926635742188,5794651.7441863324493169784545898437500,32N,2018/06/25,,m,2016-04-20,"0",2016-04-19,"7"
2016-04-20 00:04:07,7.6868097999999998037878867762629,52.2949981000000008179995347745717,2016-04-20 00:04:00,6,"4045",410444.5344118579523637890815734863281,5794661.5934381419792771339416503906250,32N,2018/06/25,,m,2016-04-20,"0",2016-04-19,"7"
2016-04-20 00:06:07,7.6867697000000001494868229201529,52.2949249999999992155608197208494,2016-04-20 00:06:00,6,"4045",410441.6523793442174792289733886718750,5794653.5127714360132813453674316406250,32N,2018/06/25,,m,2016-04-20,"0",2016-04-19,"7"
2016-04-20 00:08:07,7.6867007999999996670226209971588,52.2950443000000007032213034108281,2016-04-20 00:08:00,6,"4045",410437.1944797225878573954105377197266,5794666.8666691053658723831176757812500,32N,2018/06/25,,m,2016-04-20,"0",2016-04-19,"7"
2016-04-20 00:08:57,7.6867849000000001424837137165014,52.2949252000000015527803043369204,2016-04-20 00:08:51,5,"4045",410442.6893313764012418687343597412109,5794653.5162159465253353118896484375000,32N,2018/06/25,,m,2016-04-20,"0",2016-04-19,"7"
2016-04-20 00:09:06,7.6867654999999999176907294895500,52.2949606999999971890247252304107,2016-04-20 00:09:01,4,"4045",410441.4379792611580342054367065429688,5794657.4885595794767141342163085937500,32N,2018/06/25,,m,2016-04-20,"0",2016-04-19,"7"
2016-04-20 00:09:16,7.6867874000000000478394213132560,52.2949507000000011203155736438930,2016-04-20 00:09:11,4,"4045",410442.9112545234384015202522277832031,5794656.3492620922625064849853515625000,32N,2018/06/25,,m,2016-04-20,"0",2016-04-19,"7"
2016-04-20 00:09:56,7.6867492999999997849158717144746,52.2949314000000029523107514251024,2016-04-20 00:09:51,4,"4045",410440.2741323699010536074638366699219,5794654.2498180372640490531921386718750,32N,2018/06/25,,m,2016-04-20,"0",2016-04-19,"7"
2016-04-20 00:10:06,7.6868135000000004097842065675650,52.2949422000000012644704838749021,2016-04-20 00:10:01,4,"4045",410444.6739708230597898364067077636719,5794655.3716021915897727012634277343750,32N,2018/06/25,,m,2016-04-20,"0",2016-04-19,"7"
2016-04-20 00:10:16,7.6868729000000000084469320427161,52.2949730999999999880856194067746,2016-04-20 00:10:11,4,"4045",410448.7870190086541697382926940917969,5794658.7348707923665642738342285156250,32N,2018/06/25,,m,2016-04-20,"0",2016-04-19,"7"
2016-04-20 00:10:26,7.6868172000000001276021066587418,52.2949161000000017907041183207184,2016-04-20 00:10:21,4,"4045",410444.8736411859281361103057861328125,5794652.4641552288085222244262695312500,32N,2018/06/25,,m,2016-04-20,"0",2016-04-19,"7"
2016-04-20 00:10:36,7.6868242000000002178694558097050,52.2949793000000013876160664949566,2016-04-20 00:10:31,4,"4045",410445.4784816356259398162364959716797,5794659.4846716374158859252929687500000,32N,2018/06/25,,m,2016-04-20,"0",2016-04-19,"7"
