timestamp,long,lat,start_time,used_time_,tag_ident,utm_east,utm_north,utm_zone,date,time,Gender,trueDate,Hour,arbDate,arbHour
2016-04-23 00:00:09,7.6927953000000002248270902782679,52.2899467000000015559635357931256,2016-04-23 00:00:00,8,"4045",410842.5663372369017452001571655273438,5794092.3850911976769566535949707031250,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:02:12,7.6922372000000001079911271517631,52.2898429999999976303115545306355,2016-04-23 00:02:01,10,"4045",410804.2946835902985185384750366210938,5794081.5387502955272793769836425781250,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:04:08,7.6926138999999995604639480006881,52.2897220999999987611772667150944,2016-04-23 00:04:00,7,"4045",410829.7435358964721672236919403076172,5794067.6281938301399350166320800781250,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:05:37,7.6909210999999997326881384651642,52.2884390999999979499079927336425,2016-04-23 00:05:31,5,"4045",410711.7114746079896576702594757080078,5793927.0174260353669524192810058593750,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:05:46,7.6908345000000002400497578491922,52.2883907000000007769813237246126,2016-04-23 00:05:41,4,"4045",410705.7076879546511918306350708007813,5793921.7411086419597268104553222656250,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:05:56,7.6907968000000002106730789819267,52.2883810000000011086740414611995,2016-04-23 00:05:51,4,"4045",410703.1168899736949242651462554931641,5793920.7087521823123097419738769531250,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:06:07,7.6910531000000004198113856546115,52.2884151000000017006641428451985,2016-04-23 00:06:01,5,"4045",410720.6661491189734078943729400634766,5793924.1853744788095355033874511718750,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:06:17,7.6910100000000003461764208623208,52.2884072000000017510501493234187,2016-04-23 00:06:12,4,"4045",410717.7106729042716324329376220703125,5793923.3598657697439193725585937500000,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:08:07,7.6917175999999995994471646554302,52.2894403999999966003997542429715,2016-04-23 00:08:00,6,"4045",410768.0480028340243734419345855712891,5794037.4012868059799075126647949218750,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:08:26,7.6927225000000003518607627484016,52.2902760999999998148268787190318,2016-04-23 00:08:21,4,"4045",410838.2626682194531895220279693603516,5794129.1109510222449898719787597656250,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:08:36,7.6927379000000000175418790604454,52.2902483000000017909769667312503,2016-04-23 00:08:31,4,"4045",410839.2571462484775111079216003417969,5794126.0000432776287198066711425781250,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:08:46,7.6925653000000000503177943755873,52.2900740999999982250301400199533,2016-04-23 00:08:41,4,"4045",410827.1357929468504153192043304443359,5794106.8378599844872951507568359375000,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:08:56,7.6925349000000000643240127828903,52.2901892000000003690729499794543,2016-04-23 00:08:51,4,"4045",410825.2936142688849940896034240722656,5794119.6768423747271299362182617187500,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:10:06,7.6923376000000001084799805539660,52.2900861999999975182618072722107,2016-04-23 00:10:01,4,"4045",410811.6306195387733168900012969970703,5794108.4640548406168818473815917968750,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:12:07,7.6924863999999999464307620655745,52.2902355000000014229044609237462,2016-04-23 00:12:00,6,"4045",410822.0788353423122316598892211914063,5794124.8861050810664892196655273437500,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:14:07,7.6924118999999997470240487018600,52.2902551000000030967385100666434,2016-04-23 00:14:00,6,"4045",410817.0372086092829704284667968750000,5794127.1577874673530459403991699218750,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:16:07,7.6925660000000002369802132307086,52.2902149000000022738277039024979,2016-04-23 00:16:00,6,"4045",410827.4662848651641979813575744628906,5794122.4969265498220920562744140625000,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:18:07,7.6924149999999995586108525458258,52.2900649999999984629539540037513,2016-04-23 00:18:00,6,"4045",410816.8668342917808331549167633056641,5794106.0108419014140963554382324218750,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:20:07,7.6922502000000001487478584749624,52.2901251999999985287104209419340,2016-04-23 00:20:01,5,"4045",410805.7481497431872412562370300292969,5794112.9093257728964090347290039062500,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:21:57,7.6936508999999997371332938200794,52.2903345000000001618900569155812,2016-04-23 00:21:50,6,"4045",410901.6978171947412192821502685546875,5794134.4635541997849941253662109375000,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:22:06,7.6937493999999997384975358727388,52.2903382000000007678863767068833,2016-04-23 00:22:01,4,"4045",410908.4230477453093044459819793701172,5794134.7538825459778308868408203125000,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:22:16,7.6938273999999999830379238119349,52.2903602000000020666448108386248,2016-04-23 00:22:11,4,"4045",410913.7868694066419266164302825927734,5794137.1047857627272605895996093750000,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:24:08,7.6940549000000002521915121178608,52.2903104000000027440364647191018,2016-04-23 00:24:00,7,"4045",410929.2027145560132339596748352050781,5794131.2861213190481066703796386718750,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:25:41,7.6915184999999999249098436848726,52.2896896999999967192707117646933,2016-04-23 00:25:30,10,"4045",410754.9699308435083366930484771728516,5794065.3740531327202916145324707031250,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:25:58,7.6946637000000004391608854348306,52.2891613999999975703758536837995,2016-04-23 00:25:51,6,"4045",410968.4198851918336004018783569335938,5794002.7444172399118542671203613281250,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:26:11,7.6930034000000002691876943572424,52.2891545000000022014319256413728,2016-04-23 00:26:01,9,"4045",410855.1687760569620877504348754882813,5794004.0195591673254966735839843750000,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:28:08,7.6918557999999999097440195328090,52.2896438000000003398781700525433,2016-04-23 00:28:00,7,"4045",410777.8822621410363353788852691650391,5794059.8533661738038063049316406250000,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:30:10,7.6933838000000003276568349974696,52.2898083999999983007000992074609,2016-04-23 00:30:00,9,"4045",410882.4254690951202064752578735351563,5794076.2788112219423055648803710937500,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:31:19,7.6905222000000001969510776689276,52.2902691000000032772732083685696,2016-04-23 00:31:11,7,"4045",410688.1855722682666964828968048095703,5794131.0438566319644451141357421875000,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:34:08,7.6912753000000000369595909432974,52.2902310999999997420673025771976,2016-04-23 00:34:00,7,"4045",410739.4714856753707863390445709228516,5794125.8888893751427531242370605468750,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:34:18,7.6920498999999997735699253098574,52.2906960999999981254404701758176,2016-04-23 00:34:12,5,"4045",410793.2343331371666863560676574707031,5794176.6521743927150964736938476562500,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:36:08,7.6920171000000001626517587283161,52.2905974000000028922841011080891,2016-04-23 00:36:01,6,"4045",410790.7990647424012422561645507812500,5794165.7150600906461477279663085937500,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:38:09,7.6915651000000000436784830526449,52.2904934999999966294126352295280,2016-04-23 00:38:00,8,"4045",410759.7635519398609176278114318847656,5794154.7161208465695381164550781250000,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:40:09,7.6900418000000003715399543580133,52.2905616999999978133928379975259,2016-04-23 00:40:00,8,"4045",410656.0104618169716559350490570068359,5794164.1797475330531597137451171875000,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:42:08,7.6905405000000000015347723092418,52.2909937000000013540557119995356,2016-04-23 00:42:00,7,"4045",410690.8910408742958679795265197753906,5794211.6120736664161086082458496093750,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:44:08,7.6916789000000003184709385095630,52.2907547000000008097231329884380,2016-04-23 00:44:01,6,"4045",410768.0497005995130166411399841308594,5794183.6268308274447917938232421875000,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:46:08,7.6913792000000000825821189209819,52.2905666999999994004610925912857,2016-04-23 00:46:00,7,"4045",410747.2321507727028802037239074707031,5794163.0866160998120903968811035156250,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:48:09,7.6869949000000001859689291450195,52.2913667999999987046066962648183,2016-04-23 00:48:00,8,"4045",410449.8334325950709171593189239501953,5794257.4874309301376342773437500000000,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:50:07,7.6905938999999996497081156121567,52.2891414999999994961399352177978,2016-04-23 00:50:01,5,"4045",410690.8077762281754985451698303222656,5794005.5425679190084338188171386718750,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:52:08,7.6907819000000001707917363091838,52.2886487000000030889168556313962,2016-04-23 00:52:00,7,"4045",410702.6389592764317058026790618896484,5793950.5009965272620320320129394531250,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:52:57,7.6905482000000002784645403153263,52.2873858000000026891029847320169,2016-04-23 00:52:51,5,"4045",410684.1598010240704752504825592041016,5793810.3281727368012070655822753906250,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:53:07,7.6902672000000000807062860985752,52.2873531999999983099769451655447,2016-04-23 00:53:01,5,"4045",410664.9284499973873607814311981201172,5793807.0489777438342571258544921875000,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:53:17,7.6903978000000003945046955777798,52.2873869000000013329554349184036,2016-04-23 00:53:11,6,"4045",410673.9038921928149648010730743408203,5793810.6360230538994073867797851562500,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:53:26,7.6901615999999997086433722870424,52.2874868000000034840013540815562,2016-04-23 00:53:21,4,"4045",410657.9947096558753401041030883789063,5793822.0383798973634839057922363281250,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:53:37,7.6902658999999999878127709962428,52.2873941000000002077285898849368,2016-04-23 00:53:31,5,"4045",410664.9220583860296756029129028320313,5793811.5995206851512193679809570312500,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:54:06,7.6912713000000003660261427285150,52.2873082999999994058271113317460,2016-04-23 00:54:01,4,"4045",410733.3234868419240228831768035888672,5793800.8169512655586004257202148437500,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:56:07,7.6900861999999996498900145525113,52.2872152999999997291524778120220,2016-04-23 00:56:00,6,"4045",410652.3057870038901455700397491455078,5793791.9349018344655632972717285156250,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:57:17,7.6899630999999999403371475636959,52.2858336999999977479092194698751,2016-04-23 00:57:10,6,"4045",410641.1297660595737397670745849609375,5793638.4238696042448282241821289062500,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:57:27,7.6901238999999996792666934197769,52.2853429000000033965989132411778,2016-04-23 00:57:21,5,"4045",410651.1102168953511863946914672851563,5793583.6382126351818442344665527343750,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:57:37,7.6899082999999999188389665505383,52.2851145999999999958163243718445,2016-04-23 00:57:31,5,"4045",410635.9450473663164302706718444824219,5793558.5124904373660683631896972656250,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:57:46,7.6901792999999996069959706801455,52.2852749999999986130205797962844,2016-04-23 00:57:41,4,"4045",410654.7523856158368289470672607421875,5793576.0179589511826634407043457031250,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:57:56,7.6901206999999995872485669679008,52.2850121999999970512362779118121,2016-04-23 00:57:51,4,"4045",410650.2266486388980410993099212646484,5793546.8613869035616517066955566406250,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
2016-04-23 00:58:06,7.6899725999999999359602043114137,52.2850297999999966691575536970049,2016-04-23 00:58:01,4,"4045",410640.1602720118826255202293395996094,5793549.0016095750033855438232421875000,32N,2018/06/25,,m,2016-04-23,"0",2016-04-22,"7"
