timestamp,long,lat,start_time,used_time_,tag_ident,utm_east,utm_north,utm_zone,date,time,Gender,trueDate,Hour,arbDate,arbHour
2016-05-15 20:00:10,7.6824833000000003480067789496388,52.2957257999999995945472619496286,2016-05-15 20:00:01,8,"4045",410150.9664036246831528842449188232422,5794747.8888024371117353439331054687500,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
2016-05-15 20:02:08,7.6824142000000001928583515109494,52.2956635999999974728780216537416,2016-05-15 20:02:00,7,"4045",410146.1283981867600232362747192382813,5794741.0565975112840533256530761718750,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
2016-05-15 20:04:08,7.6823857000000002059891812677961,52.2955873000000011074916983488947,2016-05-15 20:04:00,7,"4045",410144.0304742110893130302429199218750,5794732.6057967478409409523010253906250,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
2016-05-15 20:06:14,7.6824392000000001345938471786212,52.2955585999999996715814631897956,2016-05-15 20:06:00,13,"4045",410147.6207110399845987558364868164063,5794729.3473624819889664649963378906250,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
2016-05-15 20:08:08,7.6824642000000000763293428462930,52.2956150999999991313416103366762,2016-05-15 20:08:00,7,"4045",410149.4398827927652746438980102539063,5794735.6003305790945887565612792968750,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
2016-05-15 20:10:08,7.6825390000000002288516043336131,52.2955826999999970894350553862751,2016-05-15 20:10:01,6,"4045",410154.4751426550210453569889068603516,5794731.9039528612047433853149414062500,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
2016-05-15 20:12:08,7.6822556999999997984218680358026,52.2956730000000007407834345940500,2016-05-15 20:12:00,7,"4045",410135.3388631892157718539237976074219,5794742.2987739788368344306945800781250,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
2016-05-15 20:14:07,7.6825479999999997104964677419048,52.2955789000000024202563508879393,2016-05-15 20:14:00,6,"4045",410155.0811890611657872796058654785156,5794731.4701455626636743545532226562500,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
2016-05-15 20:16:09,7.6824529999999997542659002647270,52.2956610000000026161615096498281,2016-05-15 20:16:00,8,"4045",410148.7690176320029422640800476074219,5794740.7192755527794361114501953125000,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
2016-05-15 20:18:27,7.6825869999999998327666617115028,52.2957541000000034614458854775876,2016-05-15 20:18:01,26,"4045",410158.0952589733060449361801147460938,5794750.9076867662370204925537109375000,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
2016-05-15 20:20:08,7.6823294999999998111661625443958,52.2956395000000000550244294572622,2016-05-15 20:20:00,7,"4045",410140.3036865452304482460021972656250,5794738.4812794905155897140502929687500,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
2016-05-15 20:22:08,7.6823211999999996280052982911002,52.2956582999999994854078977368772,2016-05-15 20:22:00,7,"4045",410139.7757382469135336577892303466797,5794740.5825359411537647247314453125000,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
2016-05-15 20:24:07,7.6823548999999999864485289435834,52.2956198999999983811903803143650,2016-05-15 20:24:00,6,"4045",410141.9961144942208193242549896240234,5794736.2698253365233540534973144531250,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
2016-05-15 20:26:09,7.6823078999999996341330188442953,52.2956588999999993916389939840883,2016-05-15 20:26:01,7,"4045",410138.8699880700442008674144744873047,5794740.6657741330564022064208984375000,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
2016-05-15 20:28:22,7.6822609000000001699959284451324,52.2958083999999985280737746506929,2016-05-15 20:28:01,21,"4045",410135.9675370879704132676124572753906,5794757.3516531353816390037536621093750,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
2016-05-15 20:30:15,7.6823373000000003685272531583905,52.2955384999999992601260601077229,2016-05-15 20:30:00,15,"4045",410140.6311629269039258360862731933594,5794727.2382719097658991813659667968750,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
2016-05-15 20:32:25,7.6822463000000000832301338959951,52.2958680999999998562088876497000,2016-05-15 20:32:00,24,"4045",410135.0927690255921334028244018554688,5794764.0096707344055175781250000000000,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
2016-05-15 20:34:11,7.6822173999999998628140929213259,52.2956839000000002215529093518853,2016-05-15 20:34:00,10,"4045",410132.7491427733912132680416107177734,5794743.5586174428462982177734375000000,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
2016-05-15 20:36:11,7.6823094000000002878891791624483,52.2957424000000017372258298564702,2016-05-15 20:36:00,10,"4045",410139.1412883839802816510200500488281,5794749.9508718354627490043640136718750,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
2016-05-15 20:38:09,7.6822517000000001274884198210202,52.2958017999999995595317159313709,2016-05-15 20:38:01,7,"4045",410135.3268056216184049844741821289063,5794756.6290119383484125137329101562500,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
2016-05-15 20:40:09,7.6823075999999996810174707206897,52.2957370000000025811459636315703,2016-05-15 20:40:00,9,"4045",410139.0076114459079690277576446533203,5794749.3525119032710790634155273437500,32N,2018/06/25,,m,2016-05-15,"20",2016-05-15,"3"
