timestamp,long,lat,start_time,used_time_,tag_ident,utm_east,utm_north,utm_zone,date,time,Gender,trueDate,Hour,arbDate,arbHour
2016-05-13 22:00:08,7.6822524000000003141508386761416,52.2957054999999968458723742514849,2016-05-13 22:00:01,6,"4045",410135.1796125172404572367668151855469,5794745.9175542350858449935913085937500,32N,2018/06/25,,m,2016-05-13,"22",2016-05-13,"5"
2016-05-13 22:02:07,7.6822939999999997340296431502793,52.2956436999999993986421031877398,2016-05-13 22:02:00,6,"4045",410137.8913413318805396556854248046875,5794738.9924642443656921386718750000000,32N,2018/06/25,,m,2016-05-13,"22",2016-05-13,"5"
2016-05-13 22:04:07,7.6823284000000002791352926578838,52.2956757999999979347194312140346,2016-05-13 22:04:00,6,"4045",410140.3021475727437064051628112792969,5794742.5199693711474537849426269531250,32N,2018/06/25,,m,2016-05-13,"22",2016-05-13,"5"
2016-05-13 22:06:07,7.6823262999999997191480360925198,52.2956521999999992544871929567307,2016-05-13 22:06:01,5,"4045",410140.1111749255796894431114196777344,5794739.8977582734078168869018554687500,32N,2018/06/25,,m,2016-05-13,"22",2016-05-13,"5"
2016-05-13 22:08:07,7.6823920000000001095941115636379,52.2956975000000028330759960226715,2016-05-13 22:08:00,6,"4045",410144.6831296955933794379234313964844,5794744.8545405277982354164123535156250,32N,2018/06/25,,m,2016-05-13,"22",2016-05-13,"5"
2016-05-13 22:10:07,7.6823696000000003536456461006310,52.2956847999999965281858749222010,2016-05-13 22:10:00,6,"4045",410143.1299069627420976758003234863281,5794743.4698303611949086189270019531250,32N,2018/06/25,,m,2016-05-13,"22",2016-05-13,"5"
2016-05-13 22:12:07,7.6823658000000003553964234015439,52.2956379999999967367330100387335,2016-05-13 22:12:00,6,"4045",410142.7760513077955693006515502929688,5794738.2694000285118818283081054687500,32N,2018/06/25,,m,2016-05-13,"22",2016-05-13,"5"
2016-05-13 22:14:07,7.6823506000000003623995326051954,52.2956509999999994420250004623085,2016-05-13 22:14:00,6,"4045",410141.7658320830087177455425262451172,5794739.7341367797926068305969238281250,32N,2018/06/25,,m,2016-05-13,"22",2016-05-13,"5"
2016-05-13 22:16:09,7.6822692000000003531567926984280,52.2955670999999995274265529587865,2016-05-13 22:16:01,7,"4045",410136.0451092002331279218196868896484,5794730.5037085860967636108398437500000,32N,2018/06/25,,m,2016-05-13,"22",2016-05-13,"5"
2016-05-13 22:18:08,7.6823411999999997590293787652627,52.2956362999999981866494636051357,2016-05-13 22:18:00,7,"4045",410141.0950660775415599346160888671875,5794738.1108523793518543243408203125000,32N,2018/06/25,,m,2016-05-13,"22",2016-05-13,"5"
