timestamp,long,lat,start_time,used_time_,tag_ident,utm_east,utm_north,utm_zone,date,time,Gender,trueDate,Hour,arbDate,arbHour
2016-04-25 21:00:07,7.6851956000000001267835614271462,52.2966778999999988286617735866457,2016-04-25 21:00:01,5,"4045",410337.8484835946583189070224761962891,5794850.4203041549772024154663085937500,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:02:07,7.6851259000000000654040377412457,52.2967049000000017144884623121470,2016-04-25 21:02:00,6,"4045",410333.1500854104524478316307067871094,5794853.5095856841653585433959960937500,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:04:07,7.6852131000000003524519343045540,52.2966538000000014108081813901663,2016-04-25 21:04:00,6,"4045",410338.9931574738584458827972412109375,5794847.7182052079588174819946289062500,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:06:07,7.6851998999999997508325577655341,52.2966686999999978979758452624083,2016-04-25 21:06:01,5,"4045",410338.1231251409044489264488220214844,5794849.3917452115565538406372070312500,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:08:08,7.6852558999999995847929312731139,52.2966893999999982156623445916921,2016-04-25 21:08:00,7,"4045",410341.9836431634030304849147796630859,5794851.6246796483173966407775878906250,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:10:07,7.6851348000000001547959982417524,52.2967003999999988650415616575629,2016-04-25 21:10:01,5,"4045",410333.7478984802146442234516143798828,5794852.9980692956596612930297851562500,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:12:07,7.6850366000000001065473043126985,52.2966397000000000616637407802045,2016-04-25 21:12:00,6,"4045",410326.9289087897050194442272186279297,5794846.3685580659657716751098632812500,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:14:07,7.6850936000000000802856447990052,52.2966800000000020531842892523855,2016-04-25 21:14:00,6,"4045",410330.8972144713043235242366790771484,5794850.7801793310791254043579101562500,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:16:14,7.6852644000000003288164407422300,52.2965871999999976083017827477306,2016-04-25 21:16:01,13,"4045",410342.3568688217783346772193908691406,5794840.2473563430830836296081542968750,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:18:07,7.6851900999999998020939528942108,52.2966643000000033225660445168614,2016-04-25 21:18:00,6,"4045",410337.4459638188709504902362823486328,5794848.9145075734704732894897460937500,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:20:07,7.6851932999999998941120793460868,52.2966769000000013534190657082945,2016-04-25 21:20:01,5,"4045",410337.6896239643101580440998077392578,5794850.3119311137124896049499511718750,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:22:07,7.6851004999999998901216713420581,52.2966424000000031924173526931554,2016-04-25 21:22:00,6,"4045",410331.2917889534146524965763092041016,5794846.5897204577922821044921875000000,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:24:07,7.6851776999999996675683178182226,52.2966450999999992177436070051044,2016-04-25 21:24:00,6,"4045",410336.5616133399889804422855377197266,5794846.7944170832633972167968750000000,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:26:08,7.6852033000000004037133294332307,52.2966537000000002421984390821308,2016-04-25 21:26:01,6,"4045",410338.3246805755770765244960784912109,5794847.7192182559520006179809570312500,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:28:07,7.6851577000000004247226570441853,52.2966735999999983164343575481325,2016-04-25 21:28:00,6,"4045",410335.2553491324069909751415252685547,5794849.9889853447675704956054687500000,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:30:07,7.6852220999999998340967977128457,52.2966753999999980351276462897658,2016-04-25 21:30:01,5,"4045",410339.6505034909350797533988952636719,5794850.1094369124621152877807617187500,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:32:07,7.6852932000000002688011591089889,52.2966947000000033085598261095583,2016-04-25 21:32:00,6,"4045",410344.5378808567184023559093475341797,5794852.1679660184308886528015136718750,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:34:07,7.6852280000000003923332769772969,52.2966806000000019594153854995966,2016-04-25 21:34:00,6,"4045",410340.0633341440116055309772491455078,5794850.6804809654131531715393066406250,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:36:07,7.6851776000000002753154149104375,52.2966549000000000546606315765530,2016-04-25 21:36:00,6,"4045",410336.5745873069390654563903808593750,5794847.8845078712329268455505371093750,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:38:07,7.6852182999999998358475750137586,52.2966645999999997229679138399661,2016-04-25 21:38:01,6,"4045",410339.3695644675754010677337646484375,5794848.9129542578011751174926757812500,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:40:07,7.6851415000000002919477992691100,52.2966657999999995354301063343883,2016-04-25 21:40:00,6,"4045",410334.1348961258772760629653930664063,5794849.1415216820314526557922363281250,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:42:07,7.6852004000000002648107511049602,52.2966430000000030986484489403665,2016-04-25 21:42:00,6,"4045",410338.1053152900421991944313049316406,5794846.5327433273196220397949218750000,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:44:08,7.6852556999999999121087057574186,52.2966922000000025150256988126785,2016-04-25 21:44:01,6,"4045",410341.9756597490631975233554840087891,5794851.9363464303314685821533203125000,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:46:07,7.6853571000000000523755261383485,52.2966964000000018586433725431561,2016-04-25 21:46:01,5,"4045",410348.8987352431868202984333038330078,5794852.2779227849096059799194335937500,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:48:07,7.6852616999999998625980879296549,52.2967257999999972639670886565000,2016-04-25 21:48:00,6,"4045",410342.4526650852640159428119659423828,5794855.6659466549754142761230468750000,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:50:08,7.6852004999999996570636540127452,52.2967050000000028830982046201825,2016-04-25 21:50:00,7,"4045",410338.2373539372929371893405914306641,5794853.4283288521692156791687011718750,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:52:08,7.6851757999999996684437064686790,52.2966795000000033155629353132099,2016-04-25 21:52:00,7,"4045",410336.5015277356142178177833557128906,5794850.6227763397619128227233886718750,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:54:07,7.6852624000000000492605067847762,52.2966806000000019594153854995966,2016-04-25 21:54:01,5,"4045",410342.4091141293756663799285888671875,5794850.6378852799534797668457031250000,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:56:07,7.6851858000000001780449565558229,52.2967103000000008705683285370469,2016-04-25 21:56:01,5,"4045",410337.2456470709876157343387603759766,5794854.0360037256032228469848632812500,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
2016-04-25 21:58:07,7.6851811000000003204490894859191,52.2967234999999988076524459756911,2016-04-25 21:58:00,6,"4045",410336.9518083252478390932083129882813,5794855.5099425287917256355285644531250,32N,2018/06/25,,m,2016-04-25,"21",2016-04-25,"4"
