tag_ident,Gender,Date,Hour,Distance,Season,month-day
1750,f,5/22/2011,20,166.1434302,Spring,22-May
1750,f,5/22/2011,21,59.29243072,Spring,22-May
1750,f,5/22/2011,22,241.6154332,Spring,22-May
1750,f,5/22/2011,23,100.3597969,Spring,22-May
1750,f,5/23/2011,0,385.7502477,Spring,23-May
1750,f,5/23/2011,1,213.1325144,Spring,23-May
1750,f,5/23/2011,2,77.85830697,Spring,23-May
1750,f,5/23/2011,3,72.4341699,Spring,23-May
1750,f,5/23/2011,4,0.41504481,Spring,23-May
1750,f,5/23/2011,17,53.98777571,Spring,23-May
1750,f,5/23/2011,18,101.6379666,Spring,23-May
1750,f,5/23/2011,19,156.1090175,Spring,23-May
1750,f,5/23/2011,20,270.3154586,Spring,23-May
1750,f,5/23/2011,21,72.83271272,Spring,23-May
1750,f,5/23/2011,22,114.465278,Spring,23-May
1750,f,5/23/2011,23,248.9791491,Spring,23-May
1750,f,5/24/2011,0,275.5542446,Spring,24-May
1750,f,5/24/2011,1,176.2806441,Spring,24-May
1750,f,5/24/2011,2,120.6078327,Spring,24-May
1750,f,5/24/2011,3,1.313141451,Spring,24-May
1750,f,5/24/2011,17,93.04694613,Spring,24-May
1750,f,5/24/2011,18,44.59540966,Spring,24-May
1750,f,5/24/2011,19,157.2753039,Spring,24-May
1750,f,5/24/2011,20,59.90596724,Spring,24-May
1750,f,5/24/2011,21,417.8113181,Spring,24-May
1750,f,5/24/2011,22,1033.37068,Spring,24-May
1750,f,5/24/2011,23,77.22092991,Spring,24-May
1750,f,5/25/2011,0,73.78642454,Spring,25-May
1750,f,5/25/2011,1,80.94603778,Spring,25-May
1750,f,5/25/2011,2,89.44760262,Spring,25-May
1750,f,5/25/2011,3,51.47701998,Spring,25-May
1750,f,5/25/2011,4,0.886495942,Spring,25-May
1750,f,5/25/2011,17,99.29695746,Spring,25-May
1750,f,5/25/2011,18,200.8865149,Spring,25-May
1750,f,5/25/2011,19,236.6806186,Spring,25-May
1750,f,5/25/2011,20,175.1261596,Spring,25-May
1750,f,5/25/2011,21,27.77095412,Spring,25-May
1750,f,5/25/2011,22,293.6132275,Spring,25-May
1750,f,5/25/2011,23,198.8488196,Spring,25-May
1750,f,5/26/2011,0,500.1613597,Spring,26-May
1750,f,5/26/2011,1,125.4240032,Spring,26-May
1750,f,5/26/2011,2,251.3144438,Spring,26-May
1750,f,5/26/2011,3,6.159033186,Spring,26-May
1750,f,5/26/2011,17,19.39128513,Spring,26-May
1750,f,5/26/2011,18,68.74157547,Spring,26-May
1750,f,5/26/2011,19,171.410111,Spring,26-May
1750,f,5/26/2011,20,357.2049843,Spring,26-May
1750,f,5/26/2011,21,587.9729655,Spring,26-May
1750,f,5/26/2011,22,1385.322468,Spring,26-May
1750,f,5/26/2011,23,241.3564002,Spring,26-May
