,tag_ident,Gender,arbDate,Distance,season,day-month
94,1753,f,6/12/2012,12153.68568,Spring,12-Jun
95,1753,f,6/13/2012,11694.51249,Spring,13-Jun
96,1753,f,6/14/2012,12732.20409,Spring,14-Jun
97,1753,f,6/15/2012,2413.291484,Spring,15-Jun
98,1753,f,6/16/2012,11373.78893,Spring,16-Jun
99,1753,f,6/17/2012,8867.168483,Spring,17-Jun
100,1753,f,6/18/2012,6975.300293,Spring,18-Jun
101,1753,f,6/19/2012,8626.860877,Spring,19-Jun
102,1753,f,6/20/2012,7391.627978,Spring,20-Jun
103,1753,f,6/21/2012,7434.864038,Spring,21-Jun
104,1753,f,6/22/2012,7681.798023,Summer,22-Jun
105,1753,f,6/23/2012,9884.927031,Summer,23-Jun
106,1753,f,6/24/2012,5245.034023,Summer,24-Jun
107,1753,f,6/25/2012,4909.443934,Summer,25-Jun
108,1753,f,6/26/2012,6428.158577,Summer,26-Jun
109,1753,f,6/27/2012,4530.586784,Summer,27-Jun
110,1753,f,6/28/2012,8374.542499,Summer,28-Jun
111,1753,f,6/29/2012,4882.748812,Summer,29-Jun
112,1753,f,6/30/2012,11216.61794,Summer,30-Jun
113,1753,f,7/1/2012,6430.991152,Summer,1-Jul
114,1753,f,7/2/2012,4852.668319,Summer,2-Jul
115,1753,f,7/3/2012,8280.770491,Summer,3-Jul
116,1753,f,7/4/2012,8434.791555,Summer,4-Jul
117,1753,f,7/5/2012,3479.012648,Summer,5-Jul
118,1753,f,7/6/2012,9721.652303,Summer,6-Jul
119,1753,f,7/7/2012,6048.899795,Summer,7-Jul
120,1753,f,7/8/2012,12318.81031,Summer,8-Jul
121,1753,f,7/9/2012,7981.43637,Summer,9-Jul
122,1753,f,7/10/2012,8995.194165,Summer,10-Jul
123,1753,f,7/11/2012,6367.535169,Summer,11-Jul
124,1753,f,7/12/2012,5510.65307,Summer,12-Jul
125,1753,f,7/13/2012,4043.898913,Summer,13-Jul
126,1753,f,7/14/2012,3621.819011,Summer,14-Jul
127,1753,f,7/15/2012,11528.34092,Summer,15-Jul
128,1753,f,7/16/2012,1708.108834,Summer,16-Jul
129,1753,f,7/17/2012,8091.579873,Summer,17-Jul
130,1753,f,7/18/2012,12196.28372,Summer,18-Jul
131,1753,f,7/19/2012,7767.348174,Summer,19-Jul
132,1753,f,7/20/2012,11643.88191,Summer,20-Jul
133,1753,f,7/21/2012,7317.307724,Summer,21-Jul
134,1753,f,7/22/2012,7845.714462,Summer,22-Jul
135,1753,f,7/23/2012,2295.346411,Summer,23-Jul
136,1753,f,7/24/2012,5781.708592,Summer,24-Jul
137,1753,f,7/25/2012,6003.404588,Summer,25-Jul
138,1753,f,7/26/2012,6432.91855,Summer,26-Jul
139,1753,f,7/27/2012,3147.18121,Summer,27-Jul
140,1753,f,7/28/2012,4904.274293,Summer,28-Jul
141,1753,f,7/29/2012,9923.651379,Summer,29-Jul
142,1753,f,7/30/2012,3294.861984,Summer,30-Jul
143,1753,f,7/31/2012,7225.57765,Summer,31-Jul
144,1753,f,8/1/2012,6217.980349,Summer,1-Aug
145,1753,f,8/2/2012,5234.189127,Summer,2-Aug
146,1753,f,8/3/2012,5401.68413,Summer,3-Aug
147,1753,f,8/4/2012,10472.69248,Summer,4-Aug
148,1753,f,8/5/2012,2791.04485,Summer,5-Aug
149,1753,f,8/6/2012,3386.894349,Summer,6-Aug
150,1753,f,8/7/2012,3524.883416,Summer,7-Aug
151,1753,f,8/8/2012,4351.381821,Summer,8-Aug
152,1753,f,8/9/2012,4188.970861,Summer,9-Aug
153,1753,f,8/10/2012,3838.890597,Summer,10-Aug
154,1753,f,8/11/2012,4814.857389,Summer,11-Aug
155,1753,f,8/12/2012,3468.033875,Summer,12-Aug
156,1753,f,8/13/2012,8296.507077,Summer,13-Aug
157,1753,f,8/14/2012,3295.107265,Summer,14-Aug
158,1753,f,8/15/2012,3571.304858,Summer,15-Aug
159,1753,f,8/16/2012,4343.377856,Summer,16-Aug
160,1753,f,8/17/2012,3390.579273,Summer,17-Aug
161,1753,f,8/18/2012,2938.817659,Summer,18-Aug
162,1753,f,8/19/2012,4545.683067,Summer,19-Aug
163,1753,f,8/20/2012,2888.834515,Summer,20-Aug
164,1753,f,8/21/2012,3119.248122,Summer,21-Aug
165,1753,f,8/22/2012,4758.408937,Summer,22-Aug
166,1753,f,8/23/2012,4423.236865,Summer,23-Aug
167,1753,f,8/24/2012,1717.544306,Summer,24-Aug
168,1753,f,8/25/2012,6497.836445,Summer,25-Aug
169,1753,f,8/26/2012,4662.409,Summer,26-Aug
170,1753,f,8/27/2012,3815.480618,Summer,27-Aug
171,1753,f,8/28/2012,917.1264588,Summer,28-Aug
172,1753,f,8/29/2012,4670.856123,Summer,29-Aug
173,1753,f,8/30/2012,2051.501497,Summer,30-Aug
174,1753,f,8/31/2012,1542.336888,Summer,31-Aug
175,1753,f,9/1/2012,4042.701595,Summer,1-Sep
176,1753,f,9/2/2012,1259.296315,Summer,2-Sep
177,1753,f,9/3/2012,567.7344003,Summer,3-Sep
178,1753,f,9/4/2012,3061.147713,Summer,4-Sep
179,1753,f,9/5/2012,4911.954696,Summer,5-Sep
180,1753,f,9/6/2012,7124.577459,Summer,6-Sep
181,1753,f,9/7/2012,3924.379107,Summer,7-Sep
182,1753,f,9/8/2012,7774.207894,Summer,8-Sep
183,1753,f,9/9/2012,2814.522731,Summer,9-Sep
184,1753,f,9/10/2012,1698.748723,Summer,10-Sep
185,1753,f,9/11/2012,2518.021614,Summer,11-Sep
186,1753,f,9/12/2012,5615.294852,Summer,12-Sep
187,1753,f,9/13/2012,4592.797119,Summer,13-Sep
188,1753,f,9/14/2012,3399.646854,Summer,14-Sep
189,1753,f,9/15/2012,2502.771827,Summer,15-Sep
190,1753,f,9/16/2012,5621.279417,Summer,16-Sep
191,1753,f,9/17/2012,3903.306512,Summer,17-Sep
192,1753,f,9/18/2012,4144.888568,Summer,18-Sep
193,1753,f,9/19/2012,1572.404637,Summer,19-Sep
194,1753,f,9/20/2012,5326.947552,Summer,20-Sep
195,1753,f,9/21/2012,7088.801466,Autumn,21-Sep
196,1753,f,9/22/2012,9854.566991,Autumn,22-Sep
197,1753,f,9/23/2012,6069.671062,Autumn,23-Sep
198,1753,f,9/24/2012,1173.912115,Autumn,24-Sep
199,1753,f,9/25/2012,3487.096476,Autumn,25-Sep
200,1753,f,9/26/2012,8038.2712,Autumn,26-Sep
201,1753,f,9/27/2012,4215.215646,Autumn,27-Sep
202,1753,f,9/28/2012,5104.008936,Autumn,28-Sep
203,1753,f,9/29/2012,10039.33228,Autumn,29-Sep
204,1753,f,9/30/2012,5339.28802,Autumn,30-Sep
205,1753,f,10/1/2012,10574.1095,Autumn,1-Oct
206,1753,f,10/2/2012,5804.226121,Autumn,2-Oct
207,1753,f,10/3/2012,3172.352348,Autumn,3-Oct
208,1753,f,10/4/2012,2142.40434,Autumn,4-Oct
209,1753,f,10/5/2012,3077.493325,Autumn,5-Oct
210,1753,f,10/6/2012,4207.299835,Autumn,6-Oct
211,1753,f,10/7/2012,5330.493245,Autumn,7-Oct
212,1753,f,10/8/2012,7140.011933,Autumn,8-Oct
213,1753,f,10/9/2012,5764.542788,Autumn,9-Oct
214,1753,f,10/10/2012,4708.868871,Autumn,10-Oct
215,1753,f,10/11/2012,4489.830248,Autumn,11-Oct
216,1753,f,10/12/2012,9412.334498,Autumn,12-Oct
217,1753,f,10/13/2012,2958.130039,Autumn,13-Oct
218,1753,f,10/14/2012,6703.641233,Autumn,14-Oct
219,1753,f,10/15/2012,5941.565326,Autumn,15-Oct
220,1753,f,10/16/2012,6891.661636,Autumn,16-Oct
221,1753,f,10/17/2012,8120.691027,Autumn,17-Oct
222,1753,f,10/18/2012,2919.998786,Autumn,18-Oct
223,1753,f,10/19/2012,3889.135589,Autumn,19-Oct
224,1753,f,10/20/2012,4542.268296,Autumn,20-Oct
225,1753,f,10/21/2012,3004.213235,Autumn,21-Oct
226,1753,f,10/22/2012,7881.646444,Autumn,22-Oct
227,1753,f,10/23/2012,5015.837216,Autumn,23-Oct
228,1753,f,10/24/2012,3475.284926,Autumn,24-Oct
229,1753,f,10/25/2012,4510.297589,Autumn,25-Oct
230,1753,f,10/26/2012,9080.174586,Autumn,26-Oct
231,1753,f,10/27/2012,3151.321385,Autumn,27-Oct
232,1753,f,10/28/2012,11062.24887,Autumn,28-Oct
233,1753,f,10/29/2012,1548.727009,Autumn,29-Oct
234,1753,f,10/30/2012,6483.491572,Autumn,30-Oct
235,1753,f,10/31/2012,4662.269883,Autumn,31-Oct
236,1753,f,11/1/2012,2905.381585,Autumn,1-Nov
237,1753,f,11/2/2012,2692.299598,Autumn,2-Nov
238,1753,f,11/3/2012,9804.764046,Autumn,3-Nov
239,1753,f,11/4/2012,9716.970616,Autumn,4-Nov
240,1753,f,11/5/2012,10358.39444,Autumn,5-Nov
241,1753,f,11/6/2012,770.3879159,Autumn,6-Nov
242,1753,f,11/7/2012,3974.852967,Autumn,7-Nov
243,1753,f,11/8/2012,1498.114722,Autumn,8-Nov
244,1753,f,11/9/2012,6040.885847,Autumn,9-Nov
